schema_version,bucket,key,source_uri,size_bytes,etag,etag_is_simple_md5_candidate,last_modified,storage_class,extension,media_type,volume_number,publication_year,integrity_status,issues,full_sha256_status,page_count,page_count_status,text_layer_status
1.0,ccaa-us-east-1-504133794192,sb_raw/申报分年一览表.jpg,s3://ccaa-us-east-1-504133794192/sb_raw/申报分年一览表.jpg,708760,0dd3605eb80367698c48b1ee23e9aebe,True,2025-11-13T02:49:27+00:00,STANDARD,.jpg,image/jpeg,,,ok_fast_checks,,not_computed_fast_audit,,not_computed_fast_audit,not_inspected_fast_audit
1.0,ccaa-us-east-1-504133794192,sb_raw/申报影印本1.pdf,s3://ccaa-us-east-1-504133794192/sb_raw/申报影印本1.pdf,243505271,30aaf34cd937aa759ded6f29df3c5164-30,False,2025-11-13T02:32:48+00:00,STANDARD,.pdf,application/pdf,1,1872,ok_fast_checks,,not_computed_fast_audit,842,read_from_pdf_page_tree,not_inspected_fast_audit
1.0,ccaa-us-east-1-504133794192,sb_raw/申报影印本10.pdf,s3://ccaa-us-east-1-504133794192/sb_raw/申报影印本10.pdf,209283545,fb29aec4cd7229a4e51987f5fbb777d8-25,False,2025-11-13T02:32:59+00:00,STANDARD,.pdf,application/pdf,10,1877,ok_fast_checks,,not_computed_fast_audit,611,read_from_pdf_page_tree,not_inspected_fast_audit
1.0,ccaa-us-east-1-504133794192,sb_raw/申报影印本100.pdf,s3://ccaa-us-east-1-504133794192/sb_raw/申报影印本100.pdf,330620805,50a1623a41302639f41dccbfc87c302b-40,False,2025-11-13T02:33:07+00:00,STANDARD,.pdf,application/pdf,100,1909,ok_fast_checks,,not_computed_fast_audit,885,read_from_pdf_page_tree,not_inspected_fast_audit
1.0,ccaa-us-east-1-504133794192,sb_raw/申报影印本101.pdf,s3://ccaa-us-east-1-504133794192/sb_raw/申报影印本101.pdf,370098177,90cdcdadcef6598d5f41807939f1b962-45,False,2025-11-13T02:33:28+00:00,STANDARD,.pdf,application/pdf,101,1909,ok_fast_checks,,not_computed_fast_audit,937,read_from_pdf_page_tree,not_inspected_fast_audit
1.0,ccaa-us-east-1-504133794192,sb_raw/申报影印本102.pdf,s3://ccaa-us-east-1-504133794192/sb_raw/申报影印本102.pdf,392281740,7737f3fb91f058e1264225bbb8f733de-47,False,2025-11-13T02:33:47+00:00,STANDARD,.pdf,application/pdf,102,1909,ok_fast_checks,,not_computed_fast_audit,927,read_from_pdf_page_tree,not_inspected_fast_audit
1.0,ccaa-us-east-1-504133794192,sb_raw/申报影印本103.pdf,s3://ccaa-us-east-1-504133794192/sb_raw/申报影印本103.pdf,413404742,e307452f819c0f7847127636a2bd8a26-50,False,2025-11-13T02:34:07+00:00,STANDARD,.pdf,application/pdf,103,1909,ok_fast_checks,,not_computed_fast_audit,1019,read_from_pdf_page_tree,not_inspected_fast_audit
1.0,ccaa-us-east-1-504133794192,sb_raw/申报影印本104.pdf,s3://ccaa-us-east-1-504133794192/sb_raw/申报影印本104.pdf,314159599,6fb436f6a048a7c251e7be617b4711fd-38,False,2025-11-13T02:34:30+00:00,STANDARD,.pdf,application/pdf,104,1910,ok_fast_checks,,not_computed_fast_audit,923,read_from_pdf_page_tree,not_inspected_fast_audit
1.0,ccaa-us-east-1-504133794192,sb_raw/申报影印本105.pdf,s3://ccaa-us-east-1-504133794192/sb_raw/申报影印本105.pdf,400948909,d5c6f7661f4d4cc2087b5cd520a0f0ee-48,False,2025-11-13T02:34:48+00:00,STANDARD,.pdf,application/pdf,105,1910,ok_fast_checks,,not_computed_fast_audit,977,read_from_pdf_page_tree,not_inspected_fast_audit
1.0,ccaa-us-east-1-504133794192,sb_raw/申报影印本106.djvu,s3://ccaa-us-east-1-504133794192/sb_raw/申报影印本106.djvu,416943190,e6661ef94e559aa7f33f6afeaad3c13d-50,False,2025-11-13T02:36:47+00:00,STANDARD,.djvu,image/vnd.djvu,106,1910,ok_fast_checks,,not_computed_fast_audit,1003,read_from_djvu_directory,not_inspected_fast_audit
